source,target,value
Near South Side,"The Laramar Group, LLC",20250000
Near South Side,"FPA Multifamily, LLC",48250000
West Loop,Clarion Partners,74500000
West Loop,Waterton Associates LLC,40000000
West Loop,Fifield Capital Partners,20125000
West Loop,"JMG Realty, Inc.",41500000
West Loop,"Focus Development, Inc.",11197050
West Loop,JPMorgan Chase & Co. Investment Management,32475000
West Loop,American Realty Advisors,99600000
Edgewater,Loyola University Chicago,9500000
Edgewater,CLK Properties,16731500
Edgewater,The Bascom Group,21600000
Edgewater,Alcion Ventures,37000000
Uptown,"The Laramar Group, LLC",31575000
Uptown,Waterton Associates LLC,44894831
Uptown,CLK Properties,28842500
Uptown,The Related Companies,19800000
Lincoln Park,"The Laramar Group, LLC",126505263
Lincoln Park,RREEF Management LLC,39710000
Lincoln Park,CLK Properties,8200000
Lincoln Park,PGIM Real Estate,86750000
Lincoln Park,Golub & Company,23100000
Lincoln Park,Strategic Properties of North America,35000000
Lincoln Park,The Scion Group LLC,125723155
Lake View,"The Laramar Group, LLC",10908649
Lake View,Golub & Company,3700000
Lake View,"CA Ventures, LLC",9000000
Lake View,Strategic Properties of North America,51500000
Bucktown,"The Laramar Group, LLC",2700000
Albany Park,CLK Properties,6200000
West Town,Waterton Associates LLC,31600000
West Town,Barings Real Estate Advisers LLC,57500000
West Town,"CA Ventures, LLC",10850000
Sheffield & DePaul,"The Laramar Group, LLC",7036000
Mount Greenwood,Castle Lanterra Properties,28500000
Kenwood,CLK Properties,4300000
Kenwood,"Pioneer Acquisitions, LLC",4742209
Hyde Park,"The Laramar Group, LLC",14650000
Hyde Park,"PNC Financial Services Group, Inc.",19000000
Hyde Park,"Pioneer Acquisitions, LLC",113568462
West Ridge,CLK Properties,5725000
West Ridge,"Pioneer Acquisitions, LLC",9475000
Roseland,EquiShares Real Estate Company,23742500
Logan Square,Fifield Capital Partners,9663000
North Center,Vestian Group Inc.,14125000
Irving Park,"Pioneer Acquisitions, LLC",7475000
Humboldt Park,"Pioneer Acquisitions, LLC",2050000
Wicker Park,CIM Group LP,57750000
Riverdale,"Capital Realty Group, Inc",22750000
Rogers Park,"The Laramar Group, LLC",65000000
Rogers Park,CLK Properties,6350000
Rogers Park,"Pioneer Acquisitions, LLC",17847978
Rogers Park,"Time Equities, Inc.",6300000
Rogers Park,The Bascom Group,18875000
River North,PGIM Real Estate,105283500
River North,"L&B Realty Advisors, LLP",200000000
River North,"MetLife, Inc.",119000000
River North,Onni Group,50000000
River North,Berkshire Group,114000000
River North,"GID Investment Advisers, LLC",85000000
River North,"Hartz Mountain Industries, Inc.",240000000
River North,The Habitat Company,84634000
River North,Canada Pension Plan Investment Board,62832000
River North,"Angelo, Gordon & Co.",117000000
River North,LaSalle Investment Management Inc.,61750000
Loop,PGIM Real Estate,127078770
Loop,"CA Ventures, LLC",9100000
Loop,"MetLife, Inc.",120000000
Loop,UBS Group,12200000
Loop,"Magellan Development Group, Ltd.",164076000
Loop,Monogram Residential Trust,88000000
Loop,"Canyon Capital Realty Advisors, LLC",159850000
Loop,Village Green,49318500
Loop,Crescent Heights,363180180
Loop,Heitman,328225000
Loop,Harrison Street Capital,105150000
Loop,Morguard North American Residential REIT,222500000
Loop,AXA Investment Managers,201000000
Streeterville,RREEF Management LLC,107000000
Streeterville,Village Green,18937000
Streeterville,Gerding Edlen,109000000
Streeterville,JPMorgan Chase & Co. Investment Management,140000000
Streeterville,Invesco,240312000
Streeterville,LaSalle Investment Management Inc.,166132282
Streeterville,Bixby Bridge Capital,23000000
Streeterville,Emmes Asset Management Company LLC / Vanbarton Group,74875000
Rush & Division,Golub & Company,226500000
Lincoln Square,"Pioneer Acquisitions, LLC",14269000
Lincoln Square,The Carlyle Group,33600000
Boystown,CLK Properties,50500000
Avondale,CLK Properties,7100000
Old Town,The Related Companies,86500000
