Date,West Loop,River North,Loop,Streeterville,Near North,Gold Coast,South Loop
3-16,8,38,0,30,26,34,45
4-16,,30,0,73,46,0,50
5-16,15,64,24,56,45,0,35
6-16,0,51,24,69,36,0,82.15
7-16,28,79,86,8,47,0,88
8-16,31,38,86,59,13,0,159
9-16,16,38,117,53,45,0,106
10-16,25,31,55,25,38,0,42
11-16,13,12,33,25,28,0,44
12-16,11,13,37,25,30,0,35
1-17,13,19,45,25,17,0,47
2-17,14,27,65,26,13,0,48
3-17,15,27,68,35,35,0,62
4-17,15,17,74,78,51,0,64
5-17,19,80,94,39,50,36,55
6-17,14,117,86,66,79,40,41
7-17,0,143,78,51,70,64,56
8-17,45,76,135,27,51,86,33
9-17,20,81,42,28,13,62,0
10-17,35,79,28,27,13,53,0
11-17,24,55,6,27,2,12,0
12-17,21,81,6,27,2,40,2
1-18,28,58,16,52,3,22,12
2-18,30,109,10,17,0,26,4
